Time,IP Source,IP Destination,Attack Time
2017-04-26 18:45:02.067471,10.0.0.13,10.0.0.12,"(7, 1, 1)s"
2017-04-26 18:45:06.134668,10.0.0.13,10.0.0.12,"(11, 1, 1)s"
2017-04-26 18:45:10.204678,10.0.0.13,10.0.0.12,"(15, 1, 1)s"
2017-04-26 18:45:14.279832,10.0.0.13,10.0.0.12,"(19, 1, 1)s"
2017-04-26 18:45:18.354441,10.0.0.13,10.0.0.12,"(23, 1, 1)s"
2017-04-26 18:46:03.216111,10.0.0.13,10.0.0.12,"(0, 0, 0)s"
2017-04-26 18:46:05.297304,10.0.0.13,10.0.0.12,"(2, 0, 0)s"
2017-04-26 18:46:07.372762,10.0.0.13,10.0.0.12,"(4, 0, 0)s"
2017-04-26 18:46:09.455201,10.0.0.13,10.0.0.12,"(6, 0, 0)s"
2017-04-26 18:46:11.537257,10.0.0.13,10.0.0.12,"(8, 0, 0)s"
2017-04-26 18:46:13.624012,10.0.0.13,10.0.0.12,"(10, 0, 0)s"
2017-04-26 18:46:15.710841,10.0.0.13,10.0.0.12,"(12, 0, 0)s"
2017-04-26 18:46:17.792224,10.0.0.13,10.0.0.12,"(14, 0, 0)s"
2017-04-26 18:46:19.867144,10.0.0.13,10.0.0.12,"(16, 0, 0)s"
2017-04-26 18:46:21.942986,10.0.0.13,10.0.0.12,"(18, 0, 0)s"
2017-04-26 18:46:24.018176,10.0.0.13,10.0.0.12,"(20, 0, 0)s"
2017-04-26 18:46:26.095822,10.0.0.13,10.0.0.12,"(22, 0, 0)s"
2017-04-26 18:46:28.177016,10.0.0.13,10.0.0.12,"(25, 0, 0)s"
2017-04-26 18:46:30.264501,10.0.0.13,10.0.0.12,"(27, 0, 0)s"
2017-04-26 18:46:32.331037,10.0.0.13,10.0.0.12,"(29, 0, 0)s"
2017-04-26 18:46:36.399596,10.0.0.13,10.0.0.12,"(33, 0, 0)s"
2017-04-26 18:46:40.471696,10.0.0.13,10.0.0.12,"(37, 0, 0)s"
2017-04-26 18:46:44.541841,10.0.0.13,10.0.0.12,"(41, 0, 0)s"
2017-04-26 18:46:48.612537,10.0.0.13,10.0.0.12,"(45, 0, 0)s"
2017-04-26 18:46:52.680849,10.0.0.13,10.0.0.12,"(49, 0, 0)s"
2017-04-26 18:46:56.751246,10.0.0.13,10.0.0.12,"(53, 0, 0)s"
2017-04-26 18:47:00.818248,10.0.0.13,10.0.0.12,"(57, 0, 0)s"
2017-04-26 18:47:04.888726,10.0.0.13,10.0.0.12,"(1, 1, 0)s"
2017-04-26 18:47:08.960211,10.0.0.13,10.0.0.12,"(5, 1, 0)s"
2017-04-26 18:47:13.033228,10.0.0.13,10.0.0.12,"(9, 1, 0)s"
2017-04-26 18:47:17.111355,10.0.0.13,10.0.0.12,"(13, 1, 0)s"
2017-04-26 18:47:21.189265,10.0.0.13,10.0.0.12,"(18, 1, 0)s"
2017-04-26 18:47:25.258331,10.0.0.13,10.0.0.12,"(22, 1, 0)s"
2017-04-26 18:47:29.330053,10.0.0.13,10.0.0.12,"(26, 1, 0)s"
